dx,dy,dtheta,dv
4.845169853368247459e-03,3.287920571871438824e-03,1.073410231345439669e-03,6.797692375313602042e-02
5.308524535607261896e-03,4.011371128783025597e-03,2.382231497780762375e-02,7.300593503270957907e-02
8.665697184795817520e-03,1.196826496705938325e-03,2.571567749946757075e-02,9.636190431074886931e-04
1.344886832363556550e-02,-1.004493151661733918e-04,2.486178650879899976e-02,2.880171781325291391e-02
1.657261140373122998e-02,-1.389749806056173043e-02,2.807644380711216137e-02,-3.201625016677890345e-01
1.197876111856999159e-02,-4.091514659027239986e-03,1.385397617914962964e-02,-4.936982062258943316e-02
1.284503249533486269e-02,-7.982661852992123386e-04,1.134407844696516676e-02,4.493810009063353705e-02
1.519080465725153317e-02,-1.258756067908706200e-03,1.384253164274196202e-02,6.896803541097618062e-02
1.731745171731802202e-02,-2.097407975977461092e-03,1.633793974008512784e-02,8.835776866883437997e-02
1.900261089350863131e-02,-4.848284863211205220e-03,2.003509987963214556e-02,3.996044211223159781e-02
1.841424442064010236e-02,-1.345982668397027737e-02,2.376828820040288726e-02,-2.107100521564257978e-01
1.521318844805819026e-02,-5.524722611049526222e-03,1.518567225715883318e-02,-1.694578079037833973e-03
1.854864577954629112e-02,-3.027423690635799858e-03,1.518735507202229051e-02,-7.155765705244304664e-02
1.540660911422264689e-02,-3.127948674901404047e-04,1.121387557563102710e-02,3.521231360948678946e-02
1.558921842132576785e-02,-2.271750739204492220e-03,1.372972353493295827e-02,1.502156200345616810e-02
1.635577730421289289e-02,-2.295724268464027773e-03,1.456398782545198500e-02,4.804851135466825518e-02
1.481909673707093589e-02,-1.063666679126029635e-02,1.902775990448035692e-02,-2.174231116066617786e-01
1.214629056009641772e-02,-3.146574515330513577e-03,1.020155015635837437e-02,7.328367024302728794e-03
1.238018193485856955e-02,-2.992042946463158160e-03,1.079332195152837848e-02,5.238053612558257743e-02
1.310646436647289192e-02,-4.932887319856860131e-03,1.374773053747868623e-02,3.658461795295253616e-02
1.379539501316173755e-02,-6.568737158495707718e-03,1.553592710143036904e-02,-9.537461457495788331e-03
1.417091413108551023e-02,-5.788050570718183963e-03,1.449273812563922625e-02,2.849645468086015043e-02
1.137414678258608092e-02,-1.353288804637031717e-02,1.844875065779549850e-02,-2.029524828719434515e-01
9.344287025612629805e-03,-4.830683571118044028e-03,9.718458720114453442e-03,-1.081451735028576833e-02
9.472923603539129545e-03,-4.519088596964593307e-03,9.797606666080760363e-03,2.394906147806880048e-02
9.850260399517196674e-03,-4.944919366700162300e-03,1.133215594534187076e-02,-7.157524081376820391e-03
1.120226418375125377e-02,-3.217925080718941899e-03,1.062189619065234680e-02,5.160720575837868251e-02
1.240165000005788443e-02,-4.887042913683359302e-03,1.256270281234250774e-02,2.161994230554159513e-02
1.117527252441163910e-02,-9.281903238154143310e-03,1.477412852730686232e-02,-8.704109209472787878e-02
1.005378293562841918e-02,-5.948599466442772155e-03,1.126062969486207876e-02,5.720210045906393148e-04
9.909257369812962679e-03,-6.600197176279465339e-03,1.168709592502370498e-02,-5.106743157884907625e-02
1.044592037835911924e-02,-2.978898674662389112e-03,8.809981391590948618e-03,7.236803561834537213e-02
8.051973686747260217e-03,-1.106152374535085414e-02,1.447647160359855079e-02,-1.677610929800331663e-01
7.930050813357070183e-03,-3.264667740470628132e-03,6.747036265072114958e-03,9.959482129845709242e-03
7.631749213516059172e-03,-4.321954268888816841e-03,8.008948945686045207e-03,-2.449143878043846811e-03
8.072028481464599281e-03,-3.472342243991732857e-03,8.078836333580641238e-03,2.017487426967323749e-02
9.395345325472703735e-03,-3.406503478608158275e-03,8.457599865835829789e-03,5.038570896266764132e-02
8.234876227163567819e-03,-8.140621009086856930e-03,1.207079318367276777e-02,-8.910089111556424024e-02
7.809548233950636131e-03,-4.598827851925335608e-03,8.417537264018504217e-03,1.442426427631982033e-02
7.502762696745435278e-03,-5.761373757717791477e-03,9.207778974974711872e-03,-2.348188335972906104e-02
7.958130474250424413e-03,-4.292094097642973338e-03,8.258384625977166493e-03,8.580217834042225267e-03
7.831217629558295812e-03,-5.035640726209322793e-03,8.792733355539539275e-03,6.753866705856703678e-03
7.721525705719045618e-03,-5.852009187350404318e-03,9.595685466206038683e-03,-1.899057679914067931e-02
7.665083034069652967e-03,-4.906511614890973760e-03,8.455985814453725880e-03,-7.132923835582671845e-03
7.662641961331928542e-03,-5.063288323746917285e-03,8.631418182094341418e-03,-7.691942533233908641e-03
7.439456310635250702e-03,-5.003005549561123644e-03,8.192800566337865575e-03,1.946173397018963191e-02
5.365159555339005237e-03,-8.648275106356351216e-03,1.063130547310131568e-02,-1.191598314384766655e-01
5.012738093910229509e-03,-4.157217062889628778e-03,5.667860741124908230e-03,-8.012560550568231799e-03
3.721745680550725410e-03,-4.541439967901794716e-03,6.235404282641576756e-03,-4.985928624113677987e-02
3.446004395811996801e-03,-2.388640579912504336e-03,-2.133256619633483453e-03,1.375370787199742262e-02
1.789821460917551121e-03,-2.318890759134717428e-03,-8.151576915849112481e-04,-2.839088107919242321e-02
1.163281660069515056e-03,-6.850575956818261147e-04,-5.475411623008241691e-04,3.584180095528327614e-03
2.068781676456410423e-04,-1.004887255295017212e-03,2.756092580158409078e-06,-1.885673685376174080e-02
1.776602467913335204e-04,-6.203939575044614685e-05,-2.707441559923751129e-05,8.238348580228725682e-03
-3.176330955056982930e-05,-6.678018188708279013e-04,3.528419532550230997e-05,-1.269999738683651180e-02
9.267329345163943799e-05,7.124906920807916322e-05,-1.957725004397836699e-05,1.080564916209330456e-02
-5.756416133806396829e-05,-5.516902815863033993e-04,2.414976205544761001e-05,-1.028072800178637947e-02
6.024292626705118892e-05,1.459804038859147113e-04,-1.307028266306353714e-05,1.223193695838959913e-02
-7.104959202308691602e-05,-4.798016433227303423e-04,1.764362137191000102e-05,-8.832982145782083960e-03
5.110765724225529993e-05,1.919407061663491731e-04,-7.416967178652811299e-06,1.314149222782464051e-02
-7.011476432694507821e-05,-4.375448878910503936e-04,1.260361453692127043e-05,-7.874129750169470490e-03
4.695078700933663640e-05,2.214701574239086312e-04,-3.681448795367359139e-06,1.375711898075185693e-02
-8.329701134357492265e-05,-4.060608610387816952e-04,9.603689360426770349e-06,-7.191719268185517260e-03
4.739403097175909352e-05,2.459745973730775859e-04,-9.091000878758137560e-07,1.416302237661351202e-02
-7.392479540158092277e-05,-3.876784503908936586e-04,7.288491339796365764e-06,-5.473671618201055716e-03
2.364901105522676517e-05,2.026548474631795216e-04,1.080232464367725242e-06,1.326774379178682212e-02
-6.822109922666186321e-05,-3.721402100040904770e-04,5.546291054869811887e-06,1.653838795251317412e-03
-2.126835438787111343e-05,-1.221395224000332291e-04,-7.758265549995257970e-07,7.046084208961109034e-03
-7.075045225235498947e-05,-3.578763482501301496e-04,2.988766490519267904e-06,7.328459344892960386e-03
-6.103116480460357707e-05,-3.862387195212590996e-04,-1.351975282837258874e-06,2.025238298262527041e-03
-7.168235948995516083e-05,-3.499866960474662392e-04,2.126973921434682779e-07,1.180167966176157157e-02
-9.579915598578736535e-05,-5.905101428709258471e-04,-1.013693176732388679e-06,-1.943611123455988524e-03
-6.980837332548617269e-05,-3.513857560655253565e-04,2.441643820461081305e-08,1.532737592822873765e-02
-1.266906377566101582e-04,-7.563497167772936791e-04,-1.875342724888540147e-06,-3.789270427065658409e-03
-7.577225295563039253e-05,-4.128219634260688053e-04,1.602397925459797534e-08,1.690680798213421016e-02
-1.623877676593110664e-04,-8.971569424573999640e-04,-1.715675132851757212e-06,-3.923211044560950649e-03
-9.448712336279641022e-05,-5.346514500637056244e-04,1.048814066706427184e-07,1.689124070393236907e-02
-1.729524159799211702e-04,-1.008483400333659574e-03,-2.929027989040378088e-07,-3.983743286289383352e-03
-1.117995555830475496e-04,-6.373425746240002354e-04,2.460093624367942766e-07,1.683191492468213632e-02
-1.971072319690847507e-04,-1.103028681413320555e-03,1.596007497051132873e-06,-4.050501522560936117e-03
-1.351556220896554805e-04,-7.237065241945117577e-04,4.093440235664047577e-07,1.678415437176366057e-02
-2.122816848526554168e-04,-1.186353031201292652e-03,2.219378406609351373e-06,-4.101060529860313733e-03
