x,y,theta,v
-7.273827362060546875e+01,2.422529792785644531e+01,1.390452250938856160e+00,4.072869990692530411e-03
-7.273825836181640625e+01,2.422537612915039062e+01,1.390451052516365582e+00,5.336730387061688723e-03
-7.273828125000000000e+01,2.422528076171875000e+01,1.390453316203292156e+00,6.805170852530993859e-03
-7.273828125000000000e+01,2.422522926330566406e+01,1.390450786200256639e+00,2.888561246116949296e-03
-7.273832702636718750e+01,2.422502136230468750e+01,1.390450786200256639e+00,8.980384919797197718e-03
-7.273834228515625000e+01,2.422487258911132812e+01,1.390447723565003235e+00,9.782118694338210428e-04
-7.273840332031250000e+01,2.422456932067871094e+01,1.390447723565003235e+00,1.072327604263288020e-02
-7.273843383789062500e+01,2.422434043884277344e+01,1.390442929875040923e+00,7.924864708929087740e-04
-7.273850250244140625e+01,2.422396659851074219e+01,1.390442929875040923e+00,1.215115140885380390e-02
-7.273855590820312500e+01,2.422366714477539062e+01,1.390437470394806141e+00,2.028421482539627049e-03
-7.273863220214843750e+01,2.422323226928710938e+01,1.390437470394806141e+00,1.332867742985313804e-02
-7.273868560791015625e+01,2.422287940979003906e+01,1.390432676704844051e+00,3.107935744039391768e-03
-7.273876953125000000e+01,2.422239494323730469e+01,1.390432676704844051e+00,1.432015032341988486e-02
-7.273883819580078125e+01,2.422199630737304688e+01,1.390429081437372538e+00,4.010626907062033765e-03
-7.273893737792968750e+01,2.422146987915039062e+01,1.390429081437372538e+00,1.516105440458361507e-02
-7.273901367187500000e+01,2.422102928161621094e+01,1.390425486169900804e+00,4.791896678360791501e-03
-7.273911285400390625e+01,2.422046852111816406e+01,1.390425486169900804e+00,1.588041305339420867e-02
-7.273918914794921875e+01,2.421999740600585938e+01,1.390423222482974452e+00,5.456853101703402868e-03
-7.273931121826171875e+01,2.421940422058105469e+01,1.390423222482974452e+00,1.649265270179609000e-02
-7.273940277099609375e+01,2.421890068054199219e+01,1.390423222482974452e+00,6.033706292048950787e-03
-7.273951721191406250e+01,2.421828079223632812e+01,1.390423222482974452e+00,1.702223864960224209e-02
-7.273961639404296875e+01,2.421775245666503906e+01,1.390421225112156822e+00,6.527225000483228255e-03
-7.273973846435546875e+01,2.421710968017578125e+01,1.390423222482974452e+00,1.748423751726688874e-02
-7.273983001708984375e+01,2.421656227111816406e+01,1.390420293005775187e+00,6.945946765209620212e-03
-7.273995208740234375e+01,2.421590042114257812e+01,1.390422956166865509e+00,1.785864966759122957e-02
-7.274004364013671875e+01,2.421533393859863281e+01,1.390420159847720827e+00,7.289274711194762037e-03
-7.274016571044921875e+01,2.421465301513671875e+01,1.390423222482974452e+00,1.817379454602525285e-02
